title,epicurious_url,found_exact,match_type,n_candidates_seen,pages_visited,stopped_reason
"Lentil, Apple, and Turkey Wrap ",https://www.epicurious.com/recipes/food/views/lentil-apple-and-turkey-wrap-239173,True,exact_title,12,0,found_on_page_1_exact_title
Boudin Blanc Terrine with Red Onion Confit ,https://www.epicurious.com/recipes/food/views/boudin-blanc-terrine-with-red-onion-confit-1085,True,exact_title,6,0,found_on_page_1_exact_title
Potato and Fennel Soup Hodge ,https://www.epicurious.com/recipes/food/views/potato-and-fennel-soup-hodge-10224,True,exact_title,12,0,found_on_page_1_exact_title
Spinach Noodle Casserole ,https://www.epicurious.com/recipes/food/views/spinach-noodle-casserole-2530,True,exact_title,12,0,found_on_page_1_exact_title
Korean Marinated Beef ,https://www.epicurious.com/recipes/food/views/korean-marinated-beef-109206,True,all_words_in_slug,12,0,found_on_page_1_all_words_in_slug
The Best Blts ,https://www.epicurious.com/recipes/food/views/the-best-blts-101977,True,exact_title,12,0,found_on_page_1_exact_title
Ham Persillade with Mustard Potato Salad and Mashed Peas ,https://www.epicurious.com/recipes/food/views/ham-persillade-with-mustard-potato-salad-and-mashed-peas-243208,True,exact_title,12,0,found_on_page_1_exact_title
"Yams Braised with Cream, Rosemary and Nutmeg ",https://www.epicurious.com/recipes/food/views/yams-braised-with-cream-rosemary-and-nutmeg-15640,True,exact_title,12,0,found_on_page_1_exact_title
Beef Tenderloin with Garlic and Brandy ,https://www.epicurious.com/recipes/food/views/beef-tenderloin-with-garlic-and-brandy-5861,True,exact_title,12,0,found_on_page_1_exact_title
Banana-Chocolate Chip Cake With Peanut Butter Frosting ,https://www.epicurious.com/recipes/food/views/banana-chocolate-chip-cake-with-peanut-butter-frosting-51117350,True,exact_title,12,0,found_on_page_1_exact_title
Sweet Buttermilk Spoon Breads ,https://www.epicurious.com/recipes/food/views/sweet-buttermilk-spoon-breads-351045,True,exact_title,12,0,found_on_page_1_exact_title
Raw Cream of Spinach Soup ,https://www.epicurious.com/recipes/food/views/raw-cream-of-spinach-soup-109007,True,exact_title,24,1,found_on_page_2_exact_title
Mozzarella-Topped Peppers with Tomatoes and Garlic ,https://www.epicurious.com/recipes/food/views/mozzarella-topped-peppers-with-tomatoes-and-garlic-15564,True,exact_title,12,0,found_on_page_1_exact_title
Asian Pear and Watercress Salad with Sesame Dressing ,https://www.epicurious.com/recipes/food/views/asian-pear-and-watercress-salad-with-sesame-dressing-105212,True,exact_title,12,0,found_on_page_1_exact_title
"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",https://www.epicurious.com/recipes/food/views/tuna-asparagus-and-new-potato-salad-with-chive-vinaigrette-and-fried-capers-352094,True,exact_title,12,0,found_on_page_1_exact_title
Cucumber-Basil Egg Salad ,https://www.epicurious.com/recipes/food/views/cucumber-basil-egg-salad-364869,True,exact_title,12,0,found_on_page_1_exact_title
"Green Bean, Red Onion, and Roast Potato Salad with Rosemary Vinaigrette ",https://www.epicurious.com/recipes/food/views/green-bean-red-onion-and-roast-potato-salad-with-rosemary-vinaigrette-12123,True,exact_title,12,0,found_on_page_1_exact_title
Apricot-Cherry Shortcakes ,https://www.epicurious.com/recipes/food/views/apricot-cherry-shortcakes-4096,True,exact_title,12,0,found_on_page_1_exact_title
Roasted Sweet-Potato Spears with Bacon Vinaigrette ,https://www.epicurious.com/recipes/food/views/roasted-sweet-potato-spears-with-bacon-vinaigrette-236383,True,exact_title,12,0,found_on_page_1_exact_title
Deviled Ham ,https://www.epicurious.com/recipes/food/views/deviled-ham-11574,True,exact_title,12,0,found_on_page_1_exact_title
Aztec Chicken ,https://www.epicurious.com/recipes/food/views/aztec-chicken-108576,True,exact_title,12,0,found_on_page_1_exact_title
Sauteed Broccoli Rabe ,https://www.epicurious.com/recipes/food/views/sauteed-broccoli-rabe-104238,True,exact_title,12,0,found_on_page_1_exact_title
Grouper with Tomato and Basil ,https://www.epicurious.com/recipes/food/views/grouper-with-tomato-and-basil-106744,True,exact_title,12,0,found_on_page_1_exact_title
