Ingredient,Total Fat (% DV),Saturated Fat (% DV),Cholesterol (% DV),Total Carbohydrate (% DV),Dietary Fiber (% DV),Sodium (% DV),Protein (% DV),Added Sugars (% DV),Vitamin D (% DV),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Vitamin E (% DV),Vitamin K (% DV),Thiamin (% DV),Riboflavin (% DV),Niacin (% DV),Vitamin B6 (% DV),Folate (% DV),Vitamin B12 (% DV),Biotin (% DV),Pantothenic acid (% DV),Phosphorus (% DV),Iodine (% DV),Magnesium (% DV),Zinc (% DV),Selenium (% DV),Copper (% DV),Manganese (% DV),Chromium (% DV),Molybdenum (% DV),Chloride (% DV),Potassium (% DV),Choline (% DV)
almond,67.6,0.0,0.0,7.7,34.3,10.1,41.3,0.0,0.0,0.0,0.0,20.2,22.7,110.5,0.0,7.8,71.8,24.3,4.9,10.5,0.0,0.0,0.0,40.3,0.0,63.3,28.7,1.5,107.7,0.0,0.0,0.0,0.0,15.8,9.4
amaretto,12.8,0.0,0.0,12.1,0.0,2.9,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchovy,12.4,0.0,28.3,0.0,0.0,159.6,57.8,0.0,8.5,1.3,0.0,17.8,25.7,22.2,10.1,6.5,27.9,124.4,11.9,3.2,36.7,0.0,18.2,20.2,0.0,16.4,22.2,123.8,37.7,4.3,0.0,0.0,0.0,11.6,15.5
anise,20.4,0.0,0.0,18.2,52.1,0.7,35.2,0.0,0.0,1.8,23.3,49.7,205.6,0.0,0.0,28.3,22.3,19.1,38.2,2.5,0.0,0.0,15.9,35.2,0.0,40.5,48.2,9.1,101.1,100.0,0.0,0.0,0.0,30.6,0.0
apple,2.8,0.0,0.7,10.8,6.4,2.7,2.7,0.0,0.0,0.6,4.0,3.0,0.7,1.7,1.8,3.2,6.5,0.7,2.6,0.8,3.3,0.0,0.0,3.0,0.0,1.9,1.3,0.7,2.8,0.0,0.0,0.0,0.0,2.9,0.8
apple juice,0.0,0.0,0.0,4.3,0.0,0.7,0.0,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,0.5,0.0,0.0,4.0,7.1,0.0,2.8,0.0,0.0,10.7,11.1,1.0,2.2,5.9,2.8,2.5,3.1,3.8,3.2,2.2,0.0,0.0,0.0,1.8,0.0,2.4,1.8,0.2,8.7,0.0,0.0,0.0,0.0,5.5,0.5
artichoke,0.0,0.0,0.0,6.3,5.7,0.2,4.0,0.0,0.0,0.1,4.4,1.1,18.9,1.3,0.1,16.7,4.6,8.1,4.5,3.2,0.0,0.0,7.9,6.2,0.0,4.0,1.1,1.3,15.6,2.6,0.0,0.0,0.0,9.1,5.5
arugula,0.8,0.0,0.0,1.3,5.7,1.2,5.2,0.0,0.0,13.2,16.7,12.3,8.1,2.9,90.8,3.7,6.6,1.9,4.3,24.2,0.0,0.0,8.7,4.2,0.0,11.2,4.3,0.5,8.4,14.0,0.0,0.0,0.0,7.9,2.8
asian pear,0.3,0.0,0.0,3.9,12.9,0.0,1.0,0.0,0.0,0.0,4.2,0.3,0.0,0.8,3.8,0.8,0.8,1.4,1.3,2.0,0.0,0.0,1.4,0.9,0.0,1.9,0.2,0.2,5.6,2.6,0.0,0.0,0.0,2.6,0.9
