('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         3099869 function calls (3069206 primitive calls) in 27.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7   15.001    2.143   15.001    2.143 {built-in method time.sleep}
      636    8.567    0.013    8.567    0.013 {method 'poll' of 'select.epoll' objects}
      369    1.883    0.005    1.883    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.137    0.137    0.138    0.138 {built-in method _socket.getaddrinfo}
    20682    0.122    0.000    0.674    0.000 parser.py:320(parse_starttag)
   176313    0.102    0.000    0.102    0.000 {method 'match' of 're.Pattern' objects}
        1    0.101    0.101    0.101    0.101 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.099    0.099    0.099    0.099 {method 'connect' of '_socket.socket' objects}
        8    0.074    0.009    1.075    0.134 parser.py:135(goahead)
    20682    0.068    0.000    0.196    0.000 _htmlparser.py:204(handle_endtag)
    20682    0.063    0.000    0.087    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    18631    0.058    0.000    0.085    0.000 __init__.py:870(object_was_parsed)
    20682    0.048    0.000    0.319    0.000 __init__.py:990(handle_starttag)
    20682    0.034    0.000    0.370    0.000 _htmlparser.py:142(handle_starttag)
    20686    0.034    0.000    0.138    0.000 element.py:1813(__init__)
    41751    0.033    0.000    0.175    0.000 __init__.py:829(endData)
    18403    0.030    0.000    0.237    0.000 parser.py:398(parse_endtag)
   123317    0.028    0.000    0.028    0.000 {method 'group' of 're.Match' objects}
    57948    0.028    0.000    0.028    0.000 element.py:382(setup)
    20681    0.022    0.000    0.043    0.000 __init__.py:953(_popToTag)
      386    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
    78709    0.020    0.000    0.035    0.000 _markupbase.py:44(updatepos)
    58022    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
   203152    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
217382/217322    0.019    0.000    0.019    0.000 {built-in method builtins.isinstance}
   136685    0.018    0.000    0.018    0.000 {method 'get' of 'dict' objects}
    20686    0.018    0.000    0.022    0.000 __init__.py:812(pushTag)
    18631    0.017    0.000    0.031    0.000 element.py:1478(__new__)
 4640/250    0.016    0.000    0.046    0.000 _parser.py:512(_parse)
   113301    0.015    0.000    0.015    0.000 {method 'lower' of 'str' objects}
43201/43048    0.015    0.000    0.036    0.000 typing.py:392(inner)
