('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         2927509 function calls (2896612 primitive calls) in 38.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      603   18.842    0.031   18.842    0.031 {method 'poll' of 'select.epoll' objects}
        7   15.000    2.143   15.000    2.143 {built-in method time.sleep}
      369    1.217    0.003    1.217    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      419    0.375    0.001    0.559    0.001 {method 'read' of '_io.BufferedReader' objects}
       99    0.299    0.003    1.334    0.013 {method 'readline' of '_io.BufferedReader' objects}
    20/18    0.184    0.009    0.195    0.011 {built-in method _imp.create_dynamic}
       29    0.183    0.006    0.183    0.006 {built-in method posix.listdir}
       21    0.174    0.008    0.174    0.008 {method 'readlines' of '_io._IOBase' objects}
        1    0.123    0.123    0.123    0.123 {built-in method _socket.getaddrinfo}
    19206    0.113    0.000    0.578    0.000 parser.py:320(parse_starttag)
   163429    0.089    0.000    0.089    0.000 {method 'match' of 're.Pattern' objects}
        1    0.082    0.082    0.082    0.082 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    19206    0.070    0.000    0.091    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.065    0.065    0.065    0.065 {method 'connect' of '_socket.socket' objects}
        8    0.065    0.008    0.924    0.115 parser.py:135(goahead)
    20/19    0.059    0.003    0.073    0.004 {built-in method _imp.exec_dynamic}
      146    0.051    0.000    0.051    0.000 decoder.py:343(raw_decode)
    19206    0.048    0.000    0.161    0.000 _htmlparser.py:204(handle_endtag)
    19206    0.042    0.000    0.265    0.000 __init__.py:990(handle_starttag)
        1    0.031    0.031    0.031    0.031 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    19210    0.030    0.000    0.138    0.000 element.py:1813(__init__)
    54420    0.030    0.000    0.030    0.000 element.py:382(setup)
    38799    0.029    0.000    0.123    0.000 __init__.py:829(endData)
    19206    0.029    0.000    0.308    0.000 _htmlparser.py:142(handle_starttag)
    17377    0.026    0.000    0.200    0.000 parser.py:398(parse_endtag)
   113367    0.025    0.000    0.025    0.000 {method 'group' of 're.Match' objects}
      350    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
    19205    0.019    0.000    0.038    0.000 __init__.py:953(_popToTag)
 4822/216    0.019    0.000    0.051    0.000 _parser.py:512(_parse)
   197902    0.019    0.000    0.019    0.000 {method 'append' of 'list' objects}
    73665    0.018    0.000    0.031    0.000 _markupbase.py:44(updatepos)
    54498    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
        4    0.018    0.004    0.018    0.004 {built-in method _ssl.txt2obj}
    17605    0.017    0.000    0.042    0.000 __init__.py:870(object_was_parsed)
208339/208304    0.017    0.000    0.018    0.000 {built-in method builtins.isinstance}
   129080    0.016    0.000    0.016    0.000 {method 'get' of 'dict' objects}
    19210    0.016    0.000    0.019    0.000 __init__.py:812(pushTag)
    17605    0.015    0.000    0.029    0.000 element.py:1478(__new__)
        1    0.014    0.014    0.014    0.014 {built-in method _posixsubprocess.fork_exec}
   105303    0.013    0.000    0.013    0.000 {method 'lower' of 'str' objects}
    54250    0.013    0.000    0.013    0.000 {method 'count' of 'str' objects}
40393/40248    0.012    0.000    0.030    0.000 typing.py:392(inner)
    17605    0.012    0.000    0.020    0.000 __init__.py:735(string_container)
    19206    0.012    0.000    0.014    0.000 __init__.py:789(popTag)
        1    0.012    0.012    0.012    0.012 {built-in method math.exp}
   105319    0.011    0.000    0.011    0.000 {method 'end' of 're.Match' objects}
 5629/205    0.011    0.000    0.026    0.000 _compiler.py:37(_compile)
        1    0.011    0.011    0.011    0.011 {built-in method _hashlib.openssl_sha1}
1271/1265    0.011    0.000    0.080    0.000 {built-in method builtins.__build_class__}
    19206    0.011    0.000    0.040    0.000 parser.py:364(check_for_whole_start_tag)
130461/123933    0.011    0.000    0.011    0.000 {built-in method builtins.len}
    19205    0.011    0.000    0.113    0.000 __init__.py:1056(handle_endtag)
     2187    0.011    0.000    0.023    0.000 {method 'sub' of 're.Pattern' objects}
    68998    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
       48    0.009    0.000    0.043    0.001 inspect.py:981(getmodule)
    10118    0.009    0.000    0.010    0.000 __init__.py:909(_linkage_fixer)
    15396    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
    27580    0.008    0.000    0.012    0.000 __init__.py:91(_replace_charref)
       20    0.008    0.000    0.039    0.002 filter.py:130(filter)
     2330    0.007    0.000    0.007    0.000 {built-in method posix.stat}
19810/19756    0.007    0.000    0.026    0.000 {built-in method __new__ of type object at 0xa43b40}
       19    0.007    0.000    0.007    0.000 {built-in method _imp.create_builtin}
    28721    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
    32989    0.007    0.000    0.022    0.000 filter.py:726(match)
    33696    0.007    0.000    0.014    0.000 {built-in method builtins.next}
    17140    0.006    0.000    0.012    0.000 filter.py:540(matches_tag)
    17467    0.006    0.000    0.011    0.000 _htmlparser.py:222(handle_data)
    47124    0.005    0.000    0.028    0.000 __init__.py:122(unescape)
     3227    0.005    0.000    0.005    0.000 {built-in method posix.lstat}
    30461    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
      276    0.005    0.000    0.184    0.001 _transport.py:137(run)
    31803    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
      350    0.005    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    19206    0.005    0.000    0.006    0.000 element.py:2007(is_empty_element)
    33029    0.005    0.000    0.005    0.000 element.py:3090(descendants)
    37036    0.004    0.000    0.004    0.000 {method 'start' of 're.Match' objects}
 1311/205    0.004    0.000    0.052    0.000 _parser.py:452(_parse_sub)
      933    0.004    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
      350    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
      274    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 5594/407    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
    17659    0.004    0.000    0.005    0.000 __init__.py:1068(handle_data)
    17091    0.004    0.000    0.006    0.000 _parser.py:261(get)
        2    0.003    0.002    0.003    0.002 models.py:1049(text)
    26019    0.003    0.000    0.003    0.000 _parser.py:240(__next)
      685    0.003    0.000    0.196    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    58854    0.003    0.000    0.003    0.000 typing.py:2154(cast)
22418/22350    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
    19210    0.003    0.000    0.003    0.000 __init__.py:290(can_be_empty_element)
    26440    0.003    0.000    0.004    0.000 inspect.py:291(ismodule)
  485/484    0.003    0.000    0.013    0.000 <frozen posixpath>:437(_joinrealpath)
     3278    0.003    0.000    0.004    0.000 <frozen posixpath>:71(join)
    20131    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
        1    0.002    0.002    0.031    0.031 dammit.py:128(_populate_class_variables)
     3725    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    18707    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
    19210    0.002    0.000    0.003    0.000 __init__.py:636(set_up_substitutions)
      416    0.002    0.000    0.202    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    15121    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    20246    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      603    0.002    0.000   29.953    0.050 base_events.py:1910(_run_once)
      350    0.002    0.000    0.415    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
    13511    0.002    0.000    0.003    0.000 _parser.py:256(match)
      641    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
    19206    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
     1161    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
       50    0.002    0.000    0.479    0.010 traceback.py:399(_extract_from_extended_frame_gen)
 3177/138    0.002    0.000    0.002    0.000 _connection.py:530(_replace_guids_with_channels)
     3496    0.002    0.000    0.004    0.000 typing.py:1188(__setattr__)
      420    0.002    0.000    0.089    0.000 __init__.py:280(_compile)
    12824    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
      569    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
    17377    0.002    0.000    0.002    0.000 parser.py:128(clear_cdata_mode)
      139    0.002    0.000    0.002    0.000 {built-in method posix.read}
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
    419/4    0.002    0.000    1.090    0.272 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.002    0.002    0.002    0.002 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       20    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
      700    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2442    0.001    0.000    0.004    0.000 filter.py:618(_attribute_match)
     4003    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      165    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      365    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     7728    0.001    0.000    0.002    0.000 _parser.py:176(append)
      543    0.001    0.000    0.008    0.000 typing.py:1242(__init__)
      297    0.001    0.000    0.051    0.000 inspect.py:1677(getframeinfo)
    126/1    0.001    0.000   29.953   29.953 {method 'switch' of 'greenlet.greenlet' objects}
  781/297    0.001    0.000    0.046    0.000 inspect.py:944(getsourcefile)
      275    0.001    0.000    0.005    0.000 response.py:137(decompress)
      579    0.001    0.000    0.003    0.000 streams.py:722(readexactly)
     5528    0.001    0.000    0.002    0.000 {built-in method builtins.max}
    11148    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    352/1    0.001    0.000   38.077   38.077 {built-in method builtins.exec}
      134    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      603    0.001    0.000   18.844    0.031 selectors.py:451(select)
    418/4    0.001    0.000    1.090    0.272 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      569    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
